AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|PREFERRED_AFFIL_FLAG|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC37056018^BKC000000012^20160101_000000.^BKC0NA|BKC37056018^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
BKC37117013^BKC000000002^20160101_000000.^BKC0NA|BKC37117013^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC37517079^BKC000000002^20160101_000000.^BKC0NA|BKC37517079^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC38157038^BKC000000002^20160101_000000.^BKC0NA|BKC38157038^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC38157048^BKC000000002^20160101_000000.^BKC0NA|BKC38157048^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC38157058^BKC000000002^20160101_000000.^BKC0NA|BKC38157058^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC38326011^BKC000000012^20160101_000000.^BKC0NA|BKC38326011^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
BKC38326011^BKC000000012^20160101_000000.^EHI0NA|BKC38326011^EHI0NA|BKC000000012^EHI0NA||N|||2016-01-01|9999-12-31
BKC38336048^BKC000000020^20160701_000000.^BKC0NA|BKC38336048^BKC0NA|BKC000000020^BKC0NA||N|||2016-07-01|9999-12-31
BKC38346035^BKC000000017^20160101_000000.^BKC0NA|BKC38346035^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC38477021^BKC000000003^20160101_000000.^BKC0NA|BKC38477021^BKC0NA|BKC000000003^BKC0NA||N|||2016-01-01|9999-12-31
BKC38583012^BKC000000019^20160701_000000.^BKC0NA|BKC38583012^BKC0NA|BKC000000019^BKC0NA||N|||2016-07-01|9999-12-31
BKC38944057^BKC000000017^20160101_000000.^BKC0NA|BKC38944057^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC38987021^BKC000000020^20160101_000000.^BKC0NA|BKC38987021^BKC0NA|BKC000000020^BKC0NA||N|||2016-01-01|9999-12-31
BKC39112033^BKC000000002^20160101_000000.^BKC0NA|BKC39112033^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC39182044^BKC000000006^20160101_000000.^BKC0NA|BKC39182044^BKC0NA|BKC000000006^BKC0NA||N|||2016-01-01|9999-12-31
BKC39187045^BKC000000002^20160101_000000.^BKC0NA|BKC39187045^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC39195026^BKC000000017^20160101_000000.^BKC0NA|BKC39195026^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC39348017^BKC000000012^20160101_000000.^BKC0NA|BKC39348017^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
BKC39348017^BKC000000012^20160101_000000.^EHI0NA|BKC39348017^EHI0NA|BKC000000012^EHI0NA||N|||2016-01-01|9999-12-31
BKC39349015^BKC000000012^20160101_000000.^BKC0NA|BKC39349015^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
BKC39615011^BKC000000006^20160101_000000.^BKC0NA|BKC39615011^BKC0NA|BKC000000006^BKC0NA||N|||2016-01-01|9999-12-31
BKC39624039^BKC000000018^20160701_000000.^BKC0NA|BKC39624039^BKC0NA|BKC000000018^BKC0NA||N|||2016-07-01|9999-12-31
BKC39920015^BKC000000019^20160701_000000.^BKC0NA|BKC39920015^BKC0NA|BKC000000019^BKC0NA||N|||2016-07-01|9999-12-31
BKC40171014^BKC000000005^20160101_000000.^BKC0NA|BKC40171014^BKC0NA|BKC000000005^BKC0NA||N|||2016-01-01|9999-12-31
