PRVGRP_AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC10448055^BKC22331010^20001021_000000.^BKC0NA|BKC10448055^BKC0NA|BKC22331010^BKC0NA||||2000-10-21|9999-12-31
BKC10452103^BKC30792011^20080401_000000.^BKC0NA|BKC10452103^BKC0NA|BKC30792011^BKC0NA||||2008-04-01|9999-12-31
BKC10489052^BKC43594015^20100614_000000.^BKC0NA|BKC10489052^BKC0NA|BKC43594015^BKC0NA||||2010-06-14|9999-12-31
BKC10534031^BKC39898015^20080523_000000.^BKC0NA|BKC10534031^BKC0NA|BKC39898015^BKC0NA||||2008-05-23|9999-12-31
BKC10652036^BKC30792011^20020312_000000.^BKC0NA|BKC10652036^BKC0NA|BKC30792011^BKC0NA||||2002-03-12|9999-12-31
BKC10790105^BKC30792011^20080401_000000.^BKC0NA|BKC10790105^BKC0NA|BKC30792011^BKC0NA||||2008-04-01|9999-12-31
BKC10867027^BKC33017015^20030801_000000.^BKC0NA|BKC10867027^BKC0NA|BKC33017015^BKC0NA||||2003-08-01|9999-12-31
BKC11013112^BKC43594015^20171101_000000.^BKC0NA|BKC11013112^BKC0NA|BKC43594015^BKC0NA||||2017-11-01|9999-12-31
BKC11072058^BKC52229015^20150627_000000.^BKC0NA|BKC11072058^BKC0NA|BKC52229015^BKC0NA||||2015-06-27|9999-12-31
BKC11208129^BKC55218016^20170301_000000.^BKC0NA|BKC11208129^BKC0NA|BKC55218016^BKC0NA||||2017-03-01|9999-12-31
BKC11216050^BKC09702021^20151207_000000.^BKC0NA|BKC11216050^BKC0NA|BKC09702021^BKC0NA||||2015-12-07|9999-12-31
BKC11217018^BKC01029014^19970101_000000.^BKC0NA|BKC11217018^BKC0NA|BKC01029014^BKC0NA||||1997-01-01|9999-12-31
BKC11456071^BKC34981011^20050501_000000.^BKC0NA|BKC11456071^BKC0NA|BKC34981011^BKC0NA||||2005-05-01|9999-12-31
BKC11485055^BKC19532014^19970101_000000.^BKC0NA|BKC11485055^BKC0NA|BKC19532014^BKC0NA||||1997-01-01|9999-12-31
BKC11549085^BKC01821040^20070701_000000.^BKC0NA|BKC11549085^BKC0NA|BKC01821040^BKC0NA||||2007-07-01|9999-12-31
BKC11549085^BKC01821040^20070701_000000.^EHI0NA|BKC11549085^EHI0NA|BKC01821040^EHI0NA||||2007-07-01|9999-12-31
BKC11577031^BKC52229015^20150627_000000.^BKC0NA|BKC11577031^BKC0NA|BKC52229015^BKC0NA||||2015-06-27|9999-12-31
